file,record_id,region,start,end,contig_edge,product,KCB_hit,KCB_acc,KCB_%,record_desc
F100_SemiBin_0,k141_106,1,56293,106205,FALSE,hglE-KS / T1PKS,heterocyst glycolipids,BGC0000869,57,k141_106
F100_SemiBin_0,k141_801,1,8892,51271,FALSE,lanthipeptide-class-v,,,,k141_801
F100_SemiBin_0,k141_1070,1,35782,92557,TRUE,NRPS / microviridin / betalactone,anabaenopeptin NZ857/nostamide A,BGC0001479,100,k141_1070
F100_SemiBin_0,k141_508,1,0,33499,TRUE,NRPS / NRPS-like,pseudospumigin A/pseudospumigin B/pseudospumigin C/pseudospumigin D/pseudospumigin E/pseudospumigin F,BGC0001748,100,k141_508
F100_SemiBin_0,k141_871,1,409,26523,TRUE,cyanobactin,anacyclamide D8P/sphaerocyclamide,BGC0001505,90,k141_871
F100_SemiBin_0,k141_1011,1,0,40408,TRUE,T1PKS / hglE-KS,heterocyst glycolipids,BGC0000869,85,k141_1011
F100_SemiBin_0,k141_462,1,0,25434,TRUE,mycosporine-like,hexose-palythine-serine/hexose-shinorine,BGC0001615,28,k141_462
F100_SemiBin_0,k141_448,1,106071,146863,TRUE,T1PKS,bartoloside 2/bartoloside 3/bartoloside 4,BGC0001525,27,k141_448
F100_SemiBin_0,k141_538,1,0,36127,TRUE,lanthipeptide-class-v,,,,k141_538
F100_SemiBin_0,k141_723,1,15055,27817,TRUE,terpene,,,,k141_723
F100_SemiBin_0,k141_1036,1,7550,21327,TRUE,RRE-containing / spliceotide,,,,k141_1036
F100_SemiBin_0,k141_584,1,0,14366,TRUE,thioamitides,,,,k141_584
F100_SemiBin_0,k141_584,2,20022,43108,TRUE,lanthipeptide-class-ii,,,,k141_584
F100_SemiBin_0,k141_734,1,3379,24210,TRUE,terpene,,,,k141_734
F100_SemiBin_0,k141_1108,1,20899,36613,TRUE,terpene,,,,k141_1108
F108_bin2,bin2.fa-482,1,4575,61692,FALSE,T1PKS / NRPS / hglE-KS,melithiazol A,BGC0001010,10,bin2.fa-482
F108_bin2,bin2.fa-299,1,0,17475,TRUE,NRPS,cyanopeptolin,BGC0000331,100,bin2.fa-299
F108_bin2,bin2.fa-357,1,0,5475,TRUE,NRPS,rhizomide A/rhizomide B/rhizomide C,BGC0001758,100,bin2.fa-357
F108_bin2,bin2.fa-170,1,0,32535,TRUE,NRPS / NRPS-like,aeruginosin 98-A/aeruginosin 98-B/aeruginosin 98-C,BGC0000298,78,bin2.fa-170
F108_bin2,bin2.fa-328,1,0,80916,TRUE,NRPS / T1PKS / NRPS-like,microcystin LR,BGC0001017,76,bin2.fa-328
F108_bin2,bin2.fa-234,1,0,28956,TRUE,NRPS,micropeptin K139,BGC0001018,62,bin2.fa-234
F108_bin2,bin2.fa-14,1,0,3939,TRUE,cyanobactin,piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4,BGC0001167,58,bin2.fa-14
F108_bin2,bin2.fa-245,1,0,39711,TRUE,T1PKS / NRPS-like / T3PKS,merocyclophane C/merocyclophane D,BGC0001663,55,bin2.fa-245
F108_bin2,bin2.fa-467,1,0,7201,TRUE,cyanobactin,piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4,BGC0001167,25,bin2.fa-467
F108_bin2,bin2.fa-521,1,0,21115,TRUE,T1PKS,calicheamicin,BGC0000033,5,bin2.fa-521
F108_bin2,bin2.fa-89,1,12953,24880,TRUE,terpene,,,,bin2.fa-89
F108_bin2,bin2.fa-91,1,0,7596,TRUE,RRE-containing,,,,bin2.fa-91
F108_bin2,bin2.fa-97,1,993,19597,TRUE,terpene,,,,bin2.fa-97
F108_bin2,bin2.fa-241,1,0,9295,TRUE,LAP,,,,bin2.fa-241
F108_bin2,bin2.fa-355,1,0,5307,TRUE,terpene,,,,bin2.fa-355
F108_bin2,bin2.fa-405,1,0,9675,TRUE,terpene,,,,bin2.fa-405
F109_SemiBin_3,k141_2899,1,0,7076,TRUE,NRPS-like,1-heptadecene,BGC0001164,100,k141_2899
F109_SemiBin_3,k141_9451,1,0,16709,TRUE,NRPS-like,pseudospumigin A/pseudospumigin B/pseudospumigin C/pseudospumigin D/pseudospumigin E/pseudospumigin F,BGC0001748,66,k141_9451
F109_SemiBin_3,k141_7526,1,0,18327,TRUE,NRPS / microviridin,micropeptin K139,BGC0001018,62,k141_7526
F109_SemiBin_3,k141_1895,1,0,14041,TRUE,NRPS,aeruginosin 98-A/aeruginosin 98-B/aeruginosin 98-C,BGC0000298,57,k141_1895
F109_SemiBin_3,k141_3412,1,22167,65658,TRUE,NRPS,micropeptin K139,BGC0001018,37,k141_3412
F109_SemiBin_3,k141_6374,1,0,11057,TRUE,NRPS,anabaenopeptin NZ857/nostamide A,BGC0001479,33,k141_6374
F109_SemiBin_3,k141_10140,1,0,6027,TRUE,NRPS-like,aeruginoside 126B/aeruginoside 126A,BGC0000297,11,k141_10140
F109_SemiBin_3,k141_2730,1,26521,42725,TRUE,terpene,,,,k141_2730
F109_SemiBin_3,k141_7235,1,0,12264,TRUE,terpene,,,,k141_7235
F109_SemiBin_3,k141_6528,1,2848,23658,TRUE,terpene,,,,k141_6528
F109_SemiBin_3,k141_5703,1,0,22557,TRUE,NRPS / T1PKS / NRPS-like,,,,k141_5703
F109_SemiBin_3,k141_9676,1,0,4711,TRUE,lanthipeptide-class-v,,,,k141_9676
F109_SemiBin_6,k141_571,1,0,13157,TRUE,cyanobactin,piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4,BGC0001167,41,k141_571
F110_bin2,bin2.fa-76,1,0,24119,TRUE,NRPS-like,1-heptadecene,BGC0001164,100,bin2.fa-76
F110_bin2,bin2.fa-140,1,0,6553,TRUE,NRPS,rhizomide A/rhizomide B/rhizomide C,BGC0001758,100,bin2.fa-140
F110_bin2,bin2.fa-273,1,0,23858,TRUE,NRPS,aeruginosin 98-A/aeruginosin 98-B/aeruginosin 98-C,BGC0000298,71,bin2.fa-273
F110_bin2,bin2.fa-233,1,0,9271,TRUE,cyanobactin,piricyclamide 7005E1/piricyclamide 7005E2/piricyclamide 7005E3/piricyclamide 7005E4,BGC0001167,41,bin2.fa-233
F110_bin2,bin2.fa-218,1,0,12597,TRUE,NRPS / microviridin,micropeptin K139,BGC0001018,37,bin2.fa-218
F110_bin2,bin2.fa-281,1,0,43517,TRUE,NRPS,micropeptin K139,BGC0001018,37,bin2.fa-281
F110_bin2,bin2.fa-279,1,0,8010,TRUE,NRPS,endopyrrole B/endopyrrole A,BGC0002048,33,bin2.fa-279
F110_bin2,bin2.fa-32,1,0,14617,TRUE,NRPS-like,aeruginoside 126B/aeruginoside 126A,BGC0000297,17,bin2.fa-32
F110_bin2,bin2.fa-14,1,0,22146,TRUE,T1PKS / NRPS,,,,bin2.fa-14
F110_bin2,bin2.fa-100,1,711,21521,TRUE,terpene,,,,bin2.fa-100
F110_bin2,bin2.fa-157,1,5165,21421,TRUE,terpene,,,,bin2.fa-157
F110_bin2,bin2.fa-207,1,20238,32502,TRUE,terpene,,,,bin2.fa-207
F110_bin2,bin2.fa-248,1,0,15548,TRUE,lanthipeptide-class-v,,,,bin2.fa-248
F111_bin3.1_re,bin3.fa-63,1,10610,60867,FALSE,T1PKS / hglE-KS,heterocyst glycolipids,BGC0000869,57,bin3.fa-63
